component_id,component_type,error_name,created
GR003267,ground,missing_sticker,1682850438.954283
GR003212,ground,missing_sticker,1682851809.685429
GR003267,ground,missing_sticker,1682852267.627854
GR003165,ground,periodic_goto_timeout,1682853939.523621
GR003165,ground,auto_reset_agent,1682853939.928175
GR003255,ground,missing_sticker,1682854022.809994
LR00002222,lift,fine_positioning_tote_centering_after_hs_error,1682854495.975858
LR00002222,lift,auto_reset_agent,1682854506.272829
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682854525.384258
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682854717.327095
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682854957.581906
GR003264,ground,missing_sticker,1682855141.174807
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682855198.045079
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682855438.234272
GR003178,ground,missing_sticker,1682855640.601696
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682855678.621187
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682855918.900237
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682856159.221023
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682856399.473794
GR003165,ground,turn_timeout,1682856501.53038
GR003165,ground,auto_reset_agent,1682856502.728937
GR003165,ground,robot_version_timeout,1682856527.906977
GR003263,ground,missing_sticker,1682856543.994771
GR003165,ground,read_data_matrix_timeout,1682856579.407181
LR00002222,lift,auto_reset_agent,1682856595.405679
GR003267,ground,missing_sticker,1682857933.175218
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682861606.028467
GR003281,ground,corners_cv_started,1682861911.854313
GR003281,ground,corners_cv_succeeded,1682861912.057694
GR003281,ground,corners_cv_irrelevant,1682861912.108918
GR003275,ground,turn_timeout,1682862108.939513
GR003275,ground,auto_reset_agent,1682862109.230874
LR00002265,lift,auto_reset_agent,1682862174.604294
GR003227,ground,robot_restarted,1682863613.075937
GR003227,ground,auto_reset_agent,1682863614.048415
GR003215,ground,missing_sticker,1682865434.610528
GR003165,ground,turn_timeout,1682865637.427923
GR003165,ground,auto_reset_agent,1682865638.228412
GR003210,ground,tote_mismatch_error,1682865694.755823
GR003210,ground,auto_reset_agent,1682865702.811072
GR003295,ground,missing_sticker,1682866437.011651
GR003283,ground,missing_sticker,1682866581.418054
GR003227,ground,periodic_goto_timeout,1682866621.169219
GR003227,ground,auto_reset_agent,1682866622.480705
GR003233,ground,signup_no_sticker,1682866878.366457
GR003211,ground,conflicting_tote_switch,1682866894.088717
GR003211,ground,auto_reset_agent,1682866897.701454
GR003167,ground,signup_no_sticker,1682867148.805402
GR003167,ground,safety_entered,1682867149.454405
GR003270,ground,missing_sticker,1682867228.084414
GR003074,ground,conflicting_tote_switch,1682867421.178817
GR003074,ground,auto_reset_agent,1682867424.386119
GR003264,ground,missing_sticker,1682867467.17233
GR003156,ground,conflicting_tote_switch,1682867489.79558
GR003156,ground,auto_reset_agent,1682867496.215144
GR003247,ground,conflicting_tote_switch,1682867519.734599
GR003287,ground,missing_sticker,1682867520.900252
GR003247,ground,auto_reset_agent,1682867525.581777
GR003168,ground,conflicting_tote_switch,1682867536.163747
GR003168,ground,auto_reset_agent,1682867541.240446
GR003157,ground,conflicting_tote_switch,1682867577.996947
GR003157,ground,auto_reset_agent,1682867584.665389
GR003076,ground,conflicting_tote_switch,1682867701.19757
GR003076,ground,auto_reset_agent,1682867704.336845
GR003287,ground,conflicting_tote_switch,1682867748.13585
GR003287,ground,auto_reset_agent,1682867750.922231
GR003227,ground,periodic_goto_timeout,1682868077.517701
GR003227,ground,auto_reset_agent,1682868077.693511
GR003244,ground,conflicting_tote_switch,1682868101.47034
GR003244,ground,auto_reset_agent,1682868103.708503
GR003264,ground,missing_sticker,1682868248.962881
GR003274,ground,conflicting_tote_switch,1682868827.390896
GR003274,ground,auto_reset_agent,1682868830.144226
GR003098,ground,conflicting_tote_switch,1682868907.580745
GR003098,ground,auto_reset_agent,1682868909.449042
GR003227,ground,turn_timeout,1682869270.04774
GR003227,ground,auto_reset_agent,1682869270.427227
GR003294,ground,periodic_goto_timeout,1682869513.416885
GR003294,ground,auto_reset_agent,1682869514.424399
GR003270,ground,missing_sticker,1682869627.139077
GR003177,ground,missing_sticker,1682870031.083756
GR003264,ground,missing_sticker,1682870062.197312
GR003230,ground,missing_sticker,1682870226.661243
GR003294,ground,periodic_goto_timeout,1682873638.511073
